City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Castro,-24.7911,-50.0119,66.56,overcast clouds,75,93,5.68,BR
1,Beisfjord,68.3751,17.5988,37.45,light snow,90,100,4.47,NO
2,Butaritari,3.0707,172.7902,80.51,light rain,82,94,12.5,KI
3,Albany,42.6001,-73.9662,59.88,scattered clouds,28,25,1.99,US
4,Rawlins,41.7911,-107.2387,43.36,broken clouds,52,75,11.5,US
5,Tuktoyaktuk,69.4541,-133.0374,26.6,few clouds,80,20,6.91,CA
6,Port Elizabeth,-33.918,25.5701,62.89,clear sky,76,0,16.11,ZA
7,Hermanus,-34.4187,19.2345,55.8,scattered clouds,84,41,5.86,ZA
8,Kapaa,22.0752,-159.319,74.12,scattered clouds,82,40,19.57,US
9,Artyom,40.4723,50.333,59.14,broken clouds,89,55,18.43,AZ
10,Taoudenni,22.6783,-3.9836,94.1,clear sky,10,0,8.52,ML
11,Gannan,47.9147,123.5031,36.81,broken clouds,41,76,8.63,CN
12,Nikolskoye,59.7035,30.7861,44.49,overcast clouds,53,95,6.31,RU
13,Tuatapere,-46.1333,167.6833,60.19,moderate rain,65,100,9.17,NZ
14,Busselton,-33.65,115.3333,55.9,clear sky,84,0,4.56,AU
15,Atuona,-9.8,-139.0333,78.58,light rain,76,39,13.13,PF
16,Sao Mateus,-18.7161,-39.8589,84.42,clear sky,53,7,10.07,BR
17,Baikunthpur,23.25,82.55,89.08,scattered clouds,11,41,6.73,IN
18,Ushuaia,-54.8,-68.3,40.66,clear sky,81,0,4.61,AR
19,Mataura,-46.1927,168.8643,62.47,overcast clouds,83,88,4.32,NZ
20,San Patricio,28.017,-97.5169,84.29,few clouds,54,17,13.38,US
21,Vila Velha,-20.3297,-40.2925,87.75,few clouds,75,20,9.22,BR
22,Sancti Spiritus,21.9297,-79.4425,88.95,scattered clouds,37,29,7.11,CU
23,Takaka,-40.85,172.8,59.56,scattered clouds,89,38,5.53,NZ
24,Upernavik,72.7868,-56.1549,19.69,light snow,89,100,9.86,GL
25,Puerto Ayora,-0.7393,-90.3518,80.56,scattered clouds,81,38,9.31,EC
26,Ribeira Grande,38.5167,-28.7,66.6,scattered clouds,82,40,11.5,PT
27,Akdepe,42.0551,59.3788,69.89,overcast clouds,56,100,4.94,TM
28,Jamestown,42.097,-79.2353,63.52,clear sky,27,0,6.91,US
29,Esperance,-33.8667,121.9,55.24,clear sky,79,0,7.78,AU
30,New Norfolk,-42.7826,147.0587,54.91,overcast clouds,83,100,1.99,AU
31,Khatanga,71.9667,102.5,10.18,broken clouds,97,68,7.92,RU
32,Evensk,61.95,159.2333,29.12,few clouds,70,20,9.48,RU
33,Waitati,-45.75,170.5667,54.81,scattered clouds,81,32,12.68,NZ
34,Punta Arenas,-53.15,-70.9167,46.51,scattered clouds,66,40,3.44,CL
35,Penzance,50.1186,-5.5371,52.92,few clouds,71,20,10.36,GB
36,Asau,46.4333,26.4,56.32,broken clouds,68,58,2.08,RO
37,Dunedin,-45.8742,170.5036,54.81,scattered clouds,81,26,8.01,NZ
38,Rikitea,-23.1203,-134.9692,75.99,light rain,76,56,14.16,PF
39,Yellowknife,62.456,-114.3525,28.92,clear sky,54,0,5.75,CA
40,Bluff,-46.6,168.3333,62.8,overcast clouds,65,90,22.01,NZ
41,Mar Del Plata,-38.0023,-57.5575,55.87,clear sky,53,0,9.22,AR
42,Namatanai,-3.6667,152.4333,78.8,light rain,80,98,1.59,PG
43,Phulabani,20.4667,84.2333,87.12,scattered clouds,28,41,7.27,IN
44,Port Hardy,50.6996,-127.4199,51.98,scattered clouds,71,40,11.5,CA
45,Vaini,-21.2,-175.2,75.36,light intensity shower rain,100,100,6.91,TO
46,Santa Cruz De La Palma,28.6835,-17.7642,72.14,few clouds,73,20,13.8,ES
47,Mattersburg,47.7333,16.4,66.38,few clouds,59,20,8.46,AT
48,Gao,16.6362,1.637,103.42,overcast clouds,7,90,7.38,ML
49,Surt,31.2089,16.5887,67.24,overcast clouds,69,91,17.52,LY
50,Barrow,71.2906,-156.7887,10.42,clear sky,92,0,9.22,US
51,Mumford,5.2618,-0.759,83.16,overcast clouds,73,92,10.58,GH
52,Bambous Virieux,-20.3428,57.7575,77.25,light rain,83,40,11.5,MU
53,Mhlume,-26.0333,31.85,71.44,few clouds,77,13,6.62,SZ
54,Hithadhoo,-0.6,73.0833,85.59,broken clouds,67,74,15.23,MV
55,Dikson,73.5069,80.5464,14.41,overcast clouds,96,100,16.24,RU
56,Kodiak,57.79,-152.4072,38.71,moderate rain,93,100,26.46,US
57,Geraldton,-28.7667,114.6,55.81,clear sky,82,0,5.75,AU
58,San Policarpo,12.1791,125.5072,80.58,overcast clouds,80,99,7.87,PH
59,Port Alfred,-33.5906,26.891,61.18,clear sky,78,1,4.0,ZA
60,Chabahar,25.2919,60.643,87.13,broken clouds,64,56,19.22,IR
61,Moron,-34.6534,-58.6198,59.0,overcast clouds,51,98,2.28,AR
62,Georgetown,5.4112,100.3354,84.15,few clouds,80,20,3.44,MY
63,Tiksi,71.6872,128.8694,35.08,overcast clouds,81,91,19.01,RU
64,Durban,-29.8579,31.0292,67.01,clear sky,81,1,5.01,ZA
65,Clyde River,70.4692,-68.5914,16.03,overcast clouds,79,100,9.22,CA
66,Camacha,33.0833,-16.3333,63.82,few clouds,72,20,16.11,PT
67,Cidreira,-30.1811,-50.2056,67.19,broken clouds,66,66,11.05,BR
68,Avarua,-21.2078,-159.775,77.05,few clouds,88,20,5.75,CK
69,Alofi,-19.0595,-169.9187,75.09,overcast clouds,94,98,5.75,NU
70,Ostrovnoy,68.0531,39.5131,24.62,overcast clouds,78,89,9.66,RU
71,Shenjiamen,29.9576,122.298,55.62,overcast clouds,78,100,12.17,CN
72,Oranjemund,-28.55,16.4333,57.2,clear sky,86,0,15.84,NA
73,Nizhneudinsk,54.9076,99.0276,52.07,overcast clouds,78,90,3.69,RU
74,Kushima,31.4583,131.2333,59.97,overcast clouds,82,100,3.98,JP
75,Beyneu,45.3167,55.2,66.13,overcast clouds,72,98,14.47,KZ
76,Yumen,40.2833,97.2,47.66,clear sky,23,4,2.82,CN
77,Pangnirtung,66.1451,-65.7125,21.2,light snow,73,100,5.75,CA
78,Paamiut,61.994,-49.6678,31.59,overcast clouds,88,93,18.21,GL
79,Pangkalanbuun,-2.6833,111.6167,75.69,light rain,95,86,1.07,ID
80,Magole,-6.3667,37.3667,71.13,broken clouds,89,83,1.25,TZ
81,Chokurdakh,70.6333,147.9167,7.11,scattered clouds,96,29,7.34,RU
82,Homer,59.6425,-151.5483,42.69,broken clouds,70,75,18.41,US
83,Saint-Philippe,-21.3585,55.7679,78.39,scattered clouds,79,43,11.59,RE
84,Coihaique,-45.5752,-72.0662,49.95,broken clouds,66,75,5.75,CL
85,Omboue,-1.5746,9.2618,82.35,overcast clouds,73,100,3.74,GA
86,Chhatarpur,24.9,79.6,93.99,clear sky,15,2,6.71,IN
87,Lompoc,34.6391,-120.4579,79.84,clear sky,62,0,18.01,US
88,Oksfjord,70.2396,22.3479,34.0,light snow,84,100,12.97,NO
89,Zavetnoye,47.1194,43.8903,60.89,overcast clouds,38,98,8.39,RU
90,Nepomuceno,-21.2358,-45.2358,72.5,overcast clouds,72,92,6.15,BR
91,Manzhouli,49.6,117.4333,36.66,overcast clouds,35,96,2.64,CN
92,La Ronge,55.1001,-105.2842,35.85,overcast clouds,80,100,6.91,CA
93,Touros,-5.1989,-35.4608,85.53,broken clouds,63,83,15.97,BR
94,Bengkulu,-3.8004,102.2655,77.09,light rain,90,100,4.12,ID
95,Tasiilaq,65.6145,-37.6368,41.16,broken clouds,46,65,13.53,GL
96,Pedernales,18.0384,-71.744,80.71,overcast clouds,64,100,1.21,DO
97,Viru,-8.4167,-78.75,81.12,overcast clouds,52,100,8.97,PE
98,Coquimbo,-29.9533,-71.3436,60.53,few clouds,72,20,12.66,CL
99,Hilo,19.7297,-155.09,73.27,overcast clouds,92,100,3.44,US
100,Koshurnikovo,54.1667,93.3,47.64,scattered clouds,77,29,2.44,RU
101,Sawakin,19.1059,37.3321,84.72,clear sky,72,1,1.59,SD
102,Ancud,-41.8697,-73.8203,50.81,scattered clouds,72,42,5.14,CL
103,Beringovskiy,63.05,179.3167,24.73,light snow,95,100,15.17,RU
104,Bredasdorp,-34.5322,20.0403,58.21,few clouds,75,16,6.46,ZA
105,Namie,37.4833,141.0,48.97,overcast clouds,68,100,8.46,JP
106,Chapais,49.7834,-74.8492,44.38,clear sky,54,3,7.92,CA
107,Arroio Grande,-32.2375,-53.0869,64.96,clear sky,56,1,6.35,BR
108,Chuy,-33.6971,-53.4616,62.06,broken clouds,53,73,5.1,UY
109,Abnub,27.2696,31.1511,89.04,scattered clouds,13,36,11.48,EG
110,Hobart,-42.8794,147.3294,55.26,broken clouds,88,75,8.05,AU
111,Kant,27.8,79.8,95.61,scattered clouds,10,28,6.73,IN
112,Linares,-35.85,-71.6,60.31,clear sky,53,1,7.02,CL
113,Mandalgovi,45.7625,106.2708,46.89,scattered clouds,32,39,7.9,MN
114,Iqaluit,63.7506,-68.5145,24.53,overcast clouds,68,100,13.8,CA
115,Kieta,-6.2167,155.6333,78.31,broken clouds,85,84,3.2,PG
116,Ust-Tsilma,65.441,52.1498,28.6,light snow,95,100,5.19,RU
117,Avanigadda,16.0215,80.9181,84.52,clear sky,74,1,7.34,IN
118,Cabo San Lucas,22.8909,-109.9124,85.6,few clouds,52,20,6.91,MX
119,Bandarbeyla,9.4942,50.8122,84.79,clear sky,73,10,10.22,SO
120,Lorengau,-2.0226,147.2712,80.47,overcast clouds,79,92,4.9,PG
121,Whitehorse,60.7161,-135.0538,39.02,scattered clouds,81,40,11.5,CA
122,Banamba,13.55,-7.45,101.19,overcast clouds,19,86,5.91,ML
123,Muros,42.7762,-9.0603,75.69,clear sky,70,8,2.57,ES
124,Buraydah,26.326,43.975,86.45,clear sky,26,0,8.28,SA
125,Tezu,27.9167,96.1667,71.94,overcast clouds,69,99,2.73,IN
126,Cape Town,-33.9258,18.4232,62.28,clear sky,73,0,6.91,ZA
127,Vanavara,60.34,102.2797,35.76,overcast clouds,95,98,1.77,RU
128,Fairbanks,64.8378,-147.7164,47.23,clear sky,50,0,6.91,US
129,Souillac,-20.5167,57.5167,77.38,scattered clouds,83,40,11.5,MU
130,Yulara,-25.2406,130.9889,60.64,overcast clouds,67,100,12.66,AU
131,Klyuchi,52.2667,79.1667,63.32,clear sky,29,10,8.03,RU
132,Pevek,69.7008,170.3133,-6.12,overcast clouds,100,98,2.75,RU
133,Fortuna,40.5982,-124.1573,52.93,overcast clouds,94,100,1.99,US
134,Isangel,-19.55,169.2667,77.61,overcast clouds,89,100,12.82,VU
135,Mairwa,26.2333,84.15,79.56,few clouds,57,15,15.14,IN
136,Maracas,-13.4411,-40.4308,75.52,broken clouds,53,70,8.1,BR
137,Prince Rupert,54.3161,-130.3201,51.49,clear sky,71,0,2.3,CA
138,Haapiti,-17.5667,-149.8667,76.73,light rain,71,7,15.55,PF
139,Valdivia,-39.8142,-73.2459,50.09,scattered clouds,53,39,0.4,CL
140,Havoysund,70.9963,24.6622,30.43,light snow,78,100,13.0,NO
141,Noumea,-22.2763,166.4572,69.78,broken clouds,87,68,9.57,NC
142,Saldanha,-33.0117,17.9442,59.05,scattered clouds,85,44,11.45,ZA
143,Kapuskasing,49.4169,-82.4331,59.09,broken clouds,17,75,6.91,CA
144,Forio,40.7342,13.8646,68.29,clear sky,54,0,11.99,IT
145,Hambantota,6.1241,81.1185,81.86,overcast clouds,85,89,14.41,LK
146,Namibe,-15.1961,12.1522,75.33,clear sky,79,7,9.89,AO
147,Mehamn,71.0357,27.8492,28.85,light snow,64,90,16.37,NO
148,Basco,20.4487,121.9702,81.37,scattered clouds,79,34,10.49,PH
149,Longyearbyen,78.2186,15.6401,13.84,clear sky,57,0,4.61,SJ
150,Aksu,41.1231,80.2644,67.1,overcast clouds,23,100,5.41,CN
151,Koungou,-12.7336,45.2042,82.11,few clouds,78,20,6.91,YT
152,Nelson Bay,-32.7167,152.15,60.01,scattered clouds,95,25,10.49,AU
153,Camacupa,-12.0167,17.4833,64.58,overcast clouds,58,97,2.66,AO
154,Andenes,69.3143,16.1194,33.78,overcast clouds,75,100,8.05,NO
155,Bud,39.447,-86.1758,72.75,overcast clouds,70,99,12.68,US
156,Pemangkat,1.1667,108.9667,81.21,overcast clouds,76,100,3.69,ID
157,Malanje,-9.5402,16.341,67.82,broken clouds,81,62,2.98,AO
158,Puerto Escondido,15.85,-97.0667,86.83,clear sky,74,0,10.36,MX
159,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,scattered clouds,74,40,6.71,RU
160,Colares,38.7992,-9.4469,79.79,few clouds,39,20,13.8,PT
161,Cervo,43.6702,-7.4101,62.96,scattered clouds,77,45,8.32,ES
162,Narsaq,60.9167,-46.05,55.62,scattered clouds,57,35,3.13,GL
163,Hualmay,-11.0964,-77.6139,72.46,broken clouds,72,82,10.04,PE
164,Henties Bay,-22.116,14.2845,60.35,clear sky,78,0,10.4,NA
165,Cherskiy,68.75,161.3,-6.34,broken clouds,100,81,4.18,RU
166,Mahajanga,-15.7167,46.3167,80.47,clear sky,73,5,8.55,MG
167,Yerbogachen,61.2767,108.0108,34.36,overcast clouds,95,100,5.3,RU
168,Ulladulla,-35.35,150.4667,56.3,broken clouds,71,65,3.62,AU
169,Izberbash,42.5696,47.8645,57.25,overcast clouds,93,99,1.19,RU
170,Alyangula,-13.8483,136.4192,71.47,broken clouds,100,55,0.0,AU
171,Nome,64.5011,-165.4064,42.87,broken clouds,53,75,8.05,US
172,Te Anau,-45.4167,167.7167,58.42,overcast clouds,69,99,11.39,NZ
173,Montepuez,-13.1256,38.9997,70.03,scattered clouds,79,32,3.27,MZ
174,Bethel,41.3712,-73.414,62.15,clear sky,35,0,18.41,US
175,Mount Gambier,-37.8333,140.7667,53.51,broken clouds,94,75,11.5,AU
176,Innisfail,-17.5333,146.0333,72.45,scattered clouds,90,50,6.78,AU
177,Arona,28.0996,-16.681,70.7,few clouds,52,20,23.02,ES
178,Srednekolymsk,67.45,153.6833,1.18,scattered clouds,98,46,4.38,RU
179,Berlevag,70.8578,29.0864,24.6,light snow,61,99,19.69,NO
180,Santa Cruz,-17.8,-63.1667,78.85,few clouds,61,20,4.61,BO
181,Pavilosta,56.8879,21.1859,49.91,broken clouds,53,79,3.24,LV
182,Buala,-8.145,159.5921,79.11,overcast clouds,82,90,0.34,SB
183,Jinchang,38.4953,102.1739,47.21,overcast clouds,30,96,5.23,CN
184,Pemberton,50.3164,-122.8027,46.54,overcast clouds,92,99,1.14,CA
185,Argentan,48.75,-0.0167,57.22,scattered clouds,63,49,7.36,FR
186,Glendive,47.1053,-104.7125,55.76,clear sky,49,0,19.57,US
187,Colac,-38.3333,143.5833,53.83,scattered clouds,89,27,10.09,AU
188,Antofagasta,-23.65,-70.4,68.22,scattered clouds,62,25,7.23,CL
189,Dauphin,51.1494,-100.0502,41.14,clear sky,81,0,6.91,CA
190,Thinadhoo,0.5333,72.9333,85.86,overcast clouds,67,87,14.29,MV
191,Leningradskiy,69.3833,178.4167,4.87,overcast clouds,97,97,5.55,RU
192,Norman Wells,65.282,-126.8329,39.24,clear sky,60,0,10.36,CA
