City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,80.51,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Kapaa,US,74.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Atuona,PF,78.58,light rain,-9.8,-139.0333,Villa Enata
16,Sao Mateus,BR,84.42,clear sky,-18.7161,-39.8589,Hotel Rio Norte
17,Baikunthpur,IN,89.08,scattered clouds,23.25,82.55,Hotel Shree Annapurna
20,San Patricio,US,84.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
21,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
22,Sancti Spiritus,CU,88.95,scattered clouds,21.9297,-79.4425,Hostal El Parque
25,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Rikitea,PF,75.99,light rain,-23.1203,-134.9692,People ThankYou
42,Namatanai,PG,78.8,light rain,-3.6667,152.4333,Seagulls Inn Namatani
43,Phulabani,IN,87.12,scattered clouds,20.4667,84.2333,Hotel Raj Kamal
45,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
46,Santa Cruz De La Palma,ES,72.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
51,Mumford,GH,83.16,overcast clouds,5.2618,-0.759,Spanish Villa
52,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
53,Mhlume,SZ,71.44,few clouds,-26.0333,31.85,Mhlume Country Club
54,Hithadhoo,MV,85.59,broken clouds,-0.6,73.0833,Scoop Guest House
58,San Policarpo,PH,80.58,overcast clouds,12.1791,125.5072,Agapita M. Nicart
60,Chabahar,IR,87.13,broken clouds,25.2919,60.643,هتل گدروشیا
62,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
68,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
69,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
79,Pangkalanbuun,ID,75.69,light rain,-2.6833,111.6167,Grand Kecubung Hotel
80,Magole,TZ,71.13,broken clouds,-6.3667,37.3667,Juma lubelwa
83,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Omboue,GA,82.35,overcast clouds,-1.5746,9.2618,Hotel Olako
87,Lompoc,US,79.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
90,Nepomuceno,BR,72.5,overcast clouds,-21.2358,-45.2358,Hotel Menezes
93,Touros,BR,85.53,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Bengkulu,ID,77.09,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
96,Pedernales,DO,80.71,overcast clouds,18.0384,-71.744,Hotel Costa Marina
97,Viru,PE,81.12,overcast clouds,-8.4167,-78.75,AYAR - Portentos & Cabañas
99,Hilo,US,73.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Sawakin,SD,84.72,clear sky,19.1059,37.3321,فندق الدويم
109,Abnub,EG,89.04,scattered clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
115,Kieta,PG,78.31,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
117,Avanigadda,IN,84.52,clear sky,16.0215,80.9181,AP Camping
118,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
119,Bandarbeyla,SO,84.79,clear sky,9.4942,50.8122,JABIR HOTEL
120,Lorengau,PG,80.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
123,Muros,ES,75.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
124,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
125,Tezu,IN,71.94,overcast clouds,27.9167,96.1667,Circuit House
129,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
134,Isangel,VU,77.61,overcast clouds,-19.55,169.2667,Tanna Lodge
135,Mairwa,IN,79.56,few clouds,26.2333,84.15,Shri Krishna Dharmshala
136,Maracas,BR,75.52,broken clouds,-13.4411,-40.4308,Pousada Vale Aprazível
138,Haapiti,PF,76.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
145,Hambantota,LK,81.86,overcast clouds,6.1241,81.1185,Bungalow 63
146,Namibe,AO,75.33,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
148,Basco,PH,81.37,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
151,Koungou,YT,82.11,few clouds,-12.7336,45.2042,Villa Netibor
155,Bud,US,72.75,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
156,Pemangkat,ID,81.21,overcast clouds,1.1667,108.9667,Ramah Kost KITA
158,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
160,Colares,PT,79.79,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
163,Hualmay,PE,72.46,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
166,Mahajanga,MG,80.47,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
170,Alyangula,AU,71.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
173,Montepuez,MZ,70.03,scattered clouds,-13.1256,38.9997,PembaAparthotel
176,Innisfail,AU,72.45,scattered clouds,-17.5333,146.0333,Moondarra Motel
177,Arona,ES,70.7,few clouds,28.0996,-16.681,Paradise Court
180,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
182,Buala,SB,79.11,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
194,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
195,Hobyo,SO,85.05,broken clouds,5.3505,48.5268,Iftin hotel hobyo
200,Lazaro Cardenas,MX,83.1,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
202,Alappuzha,IN,84.54,overcast clouds,9.49,76.3264,Panoramic Sea Resort
204,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
206,Moerai,PF,78.66,overcast clouds,-22.4333,-151.3333,Le Manotel
207,Sinnamary,GF,83.05,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
210,Kawalu,ID,73.18,broken clouds,-7.3817,108.2082,West Jontor
213,Matara,LK,81.45,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
216,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
220,Coronado,US,78.01,clear sky,32.6859,-117.1831,Hilton San Diego Bayfront
222,Kumluca,TR,70.79,overcast clouds,36.3703,30.2869,TurkuazKöy
224,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
227,Palmas Bellas,PA,86.25,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
231,Prabumulih,ID,75.29,heavy intensity rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
232,Rogers,US,71.71,clear sky,36.3668,-95.5836,Claremore Motor Inn
236,Tumaco,CO,82.0,light rain,1.7986,-78.8156,Unión Victoria
246,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
248,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
249,Baculin,PH,77.67,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
250,Ribeira Brava,PT,75.7,clear sky,32.65,-17.0667,Hotel do Campo
251,Saint George,US,72.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
254,Manaure,CO,87.3,overcast clouds,11.7751,-72.4445,Hotel Palaaima
256,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
257,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
260,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
264,Asosa,ET,75.15,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
266,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
268,Kirakira,SB,79.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
269,Palauig,PH,81.91,broken clouds,15.435,119.9045,Alperi Botique Resort
274,Sulangan,PH,82.29,overcast clouds,11.1373,123.7228,Maia's Beach Resort
277,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
279,Natal,BR,88.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
281,Iranduba,BR,86.32,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
284,Angoche,MZ,74.01,clear sky,-16.2325,39.9086,Guest House HESADA
286,Kutum,SD,88.25,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
287,Vangaindrano,MG,71.56,clear sky,-23.35,47.6,Hotel Fanilo
288,Bubaque,GW,78.58,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
292,Coahuayana,MX,87.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
293,Sitangkai,PH,83.01,broken clouds,4.6628,119.3928,Ama House
294,Maroantsetra,MG,75.61,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
296,Padang,ID,78.85,moderate rain,-0.9492,100.3543,Mercure Padang
297,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
300,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
301,Ahualulco,MX,73.22,clear sky,22.4,-101.1667,Hotel Aurelieus
306,Mecca,SA,88.32,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
307,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
309,Matelandia,BR,71.2,broken clouds,-25.2408,-53.9964,Hotel Faeli
310,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
311,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
315,Kavieng,PG,81.75,light rain,-2.5744,150.7967,Nusa Island Retreat
322,Guapi,CO,82.65,moderate rain,2.5708,-77.8854,Hotel Emperador Guapí
327,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
329,Tautira,PF,79.65,light rain,-17.7333,-149.15,Pension Oaoa
330,Qeshm,IR,82.29,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
331,Tamiahua,MX,82.87,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
332,Kavaratti,IN,85.75,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
336,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
